,Baseline-1,Baseline-2,Proposed
EvidenceHit@5,0.0,0.0,0.0
EvidenceDocHit@5,0.0,0.0,0.0
CitationDocPrecision,0.0,0.0,0.0
Triage Accuracy,0.83,0.575,0.435
Macro-F1,0.302367941712204,0.4102286075720611,0.38955150201673594
ANSWER F1,0.907103825136612,0.7096774193548387,0.5221238938053098
TICKET F1,0.0,0.23529411764705882,0.32
REJECT F1,0.0,0.2857142857142857,0.32653061224489793
UnsupportedAnswerRate,0.54,0.4424778761061947,0.0
WrongDomainCitationRate,0.76,0.8141592920353983,0.7833333333333333
DirectAnswerRate,0.85,0.7699115044247787,0.95
FragmentRate,0.0,0.0,0.0
RepetitionRate,0.0,0.0,0.0
AnswerQualityScore,0.71,0.7026548672566371,0.8333333333333331
Avg Fraction KB Scanned,1.0,1.0,0.3625
REE@5,0.83,0.575,1.2
Avg Latency,485.70083260536194,310.6044018268585,337.76458740234375
